Date,Top Performers,Bottom Performers
2003-05,"STT, FE, IEX, NTRS, ATO, ADM, JBHT, DTE, AOS, EMN, FRT, BXP, HBAN, DOV, TER, INCY, VMC, AVY, MAA, RHI, HOLX, MHK, SJM, ROK, ESS","SNA, CMS, CMI, COO, ROP, NUE, SWK, PNW, TTWO, EIX, AEE, DHI, FDS, ED, BAX, LNC, APD, CHD, CINF, AFL, PPG, POOL, ROL, BRO, GL"
2003-06,"NTRS, ADM, DHI, POOL, SJM, CMI, FE, PPG, IEX, HOLX, BXP, CHD, MAA, STT, BAX, JBHT, NUE, LNC, CMS, ED, FDS, TTWO, RHI, VMC, ROK","ATO, ROP, TER, EIX, COO, ESS, AVY, ROL, BRO, AFL, HBAN, APD, MHK, SNA, GL, INCY, EMN, AEE, FRT, AOS, DTE, PNW, DOV, SWK, CINF"
2003-07,"GL, VMC, ROK, AVY, INCY, ESS, ROP, HOLX, CINF, BAX, MAA, HBAN, NTRS, LNC, FDS, AFL, CMI, JBHT, DOV, MHK, SWK, ADM, IEX, AOS, STT","EMN, RHI, POOL, APD, PPG, FRT, NUE, COO, SJM, BXP, DHI, PNW, ED, DTE, TTWO, TER, BRO, AEE, SNA, CMS, FE, ATO, CHD, ROL, EIX"
2003-08,"TER, MHK, AOS, CMI, ROP, SWK, COO, POOL, JBHT, ADM, FDS, ROK, IEX, MAA, NUE, SNA, DOV, ESS, VMC, CINF, CMS, RHI, HOLX, EIX, TTWO","DHI, APD, AEE, BAX, AVY, PNW, SJM, FRT, LNC, ROL, STT, NTRS, INCY, PPG, HBAN, DTE, FE, CHD, EMN, BXP, GL, ED, AFL, ATO, BRO"
2003-09,"COO, CHD, DTE, JBHT, FRT, DHI, SJM, ED, TER, PNW, BAX, MAA, STT, INCY, TTWO, CMS, FE, ROP, POOL, EIX, BXP, AFL, AEE, GL, NTRS","FDS, AVY, DOV, EMN, IEX, SNA, ADM, APD, PPG, VMC, ROK, AOS, MHK, HOLX, RHI, NUE, CMI, SWK, CINF, HBAN, BRO, ATO, ESS, ROL, LNC"
2003-10,"HBAN, ADM, GL, FE, CMI, COO, CHD, SNA, AEE, FRT, AVY, MAA, MHK, SJM, BXP, EIX, CINF, POOL, TER, DHI, RHI, PNW, ATO, NUE, ROK","STT, TTWO, INCY, ROL, ROP, AOS, AFL, SWK, LNC, VMC, PPG, DOV, NTRS, CMS, IEX, DTE, APD, BAX, ESS, JBHT, EMN, FDS, BRO, ED, HOLX"
2003-11,"DHI, EMN, ROL, PNW, CHD, ROK, ESS, MAA, IEX, APD, COO, SJM, AVY, BAX, BXP, EIX, FRT, JBHT, BRO, NUE, SNA, DTE, POOL, INCY, AOS","HOLX, TER, HBAN, ROP, PPG, GL, FE, ATO, VMC, RHI, FDS, NTRS, CMS, MHK, STT, CMI, TTWO, SWK, DOV, AFL, AEE, LNC, CINF, ADM, ED"
2003-12,"BAX, SNA, ED, CMS, ROK, VMC, EIX, ADM, CMI, IEX, RHI, DTE, AEE, BXP, DOV, BRO, GL, COO, NTRS, LNC, JBHT, FE, CINF, HBAN, STT","MAA, SWK, HOLX, INCY, EMN, PPG, APD, AVY, PNW, ROL, TER, AFL, ESS, POOL, FDS, FRT, MHK, CHD, TTWO, ROP, DHI, SJM, AOS, NUE, ATO"
2004-01,"LNC, FRT, FE, AEE, BRO, TER, ATO, BXP, CINF, GL, INCY, DOV, STT, CMI, CMS, NTRS, ADM, SJM, MAA, COO, EMN, ROL, AVY, AFL, ED","HOLX, NUE, RHI, CHD, TTWO, DTE, EIX, VMC, IEX, PPG, ROK, APD, SNA, JBHT, DHI, BAX, ESS, POOL, AOS, PNW, ROP, MHK, FDS, SWK, HBAN"
2004-02,"ADM, SJM, TTWO, BRO, EMN, LNC, EIX, MAA, CMS, NTRS, CHD, JBHT, CINF, HBAN, DTE, FE, ATO, SNA, FRT, IEX, BXP, SWK, MHK, HOLX, DHI","POOL, NUE, GL, AFL, AVY, ESS, PPG, ED, PNW, ROP, AOS, TER, ROL, ROK, DOV, RHI, APD, FDS, INCY, CMI, COO, AEE, VMC, STT, BAX"
2004-03,"FRT, BAX, BXP, BRO, EIX, RHI, SJM, CHD, ESS, APD, MAA, GL, JBHT, POOL, FE, CMI, TTWO, FDS, ROK, COO, DHI, ROL, SWK, IEX, LNC","SNA, DTE, HOLX, ED, VMC, EMN, PNW, AOS, NTRS, HBAN, INCY, CINF, TER, STT, AEE, CMS, NUE, ATO, AVY, ADM, MHK, AFL, DOV, ROP, PPG"
2004-04,"IEX, POOL, AFL, SNA, ADM, AVY, CHD, AOS, DOV, BAX, CMI, RHI, JBHT, PPG, EMN, BRO, ROP, SWK, NTRS, ROL, CMS, FDS, ED, MHK, STT","ESS, ROK, LNC, INCY, DTE, AEE, ATO, GL, NUE, TTWO, EIX, VMC, HBAN, FRT, DHI, TER, MAA, BXP, SJM, PNW, CINF, HOLX, APD, COO, FE"
2004-05,"FDS, TER, ROP, EMN, FRT, ESS, LNC, HBAN, BXP, CINF, PNW, GL, CMS, ROK, JBHT, EIX, TTWO, DTE, ROL, RHI, BRO, SWK, COO, MAA, NUE","HOLX, NTRS, IEX, AEE, CHD, PPG, ATO, DHI, APD, POOL, INCY, AVY, SJM, ADM, ED, AFL, MHK, VMC, DOV, CMI, AOS, STT, BAX, SNA, FE"
2004-06,"BAX, AVY, DOV, FDS, IEX, BRO, AOS, CMI, ROP, MAA, VMC, RHI, INCY, EIX, CMS, PPG, APD, SWK, ATO, ESS, FRT, TTWO, ED, JBHT, NUE","COO, HOLX, POOL, ROK, TER, CINF, BXP, ADM, STT, CHD, HBAN, DTE, AFL, SNA, PNW, SJM, ROL, FE, AEE, NTRS, DHI, MHK, GL, LNC, EMN"
2004-07,"NUE, HBAN, BXP, EIX, AEE, FE, ED, FRT, CMI, TTWO, ROL, DTE, MHK, PNW, VMC, AOS, SJM, FDS, POOL, ADM, CINF, LNC, IEX, RHI, SWK","COO, DOV, PPG, MAA, AVY, NTRS, SNA, CHD, TER, AFL, DHI, GL, ESS, EMN, INCY, HOLX, BAX, STT, ATO, ROP, BRO, CMS, APD, JBHT, ROK"
2004-08,"SJM, FRT, NTRS, CMS, BRO, STT, PNW, BXP, TTWO, AEE, MHK, LNC, ROK, EMN, ADM, FDS, ED, FE, DTE, AVY, POOL, MAA, DHI, ESS, INCY","SWK, CHD, BAX, PPG, APD, CINF, AFL, HBAN, ROL, ATO, EIX, HOLX, NUE, DOV, IEX, CMI, TER, COO, AOS, RHI, JBHT, GL, ROP, SNA, VMC"
2004-09,"JBHT, FDS, VMC, DHI, ADM, AVY, RHI, BAX, INCY, ROL, ROP, TER, HOLX, APD, LNC, DOV, PPG, GL, MHK, FE, EMN, CINF, DTE, COO, NUE","IEX, CMI, BRO, ED, HBAN, ATO, TTWO, CHD, STT, NTRS, POOL, FRT, SJM, ESS, AFL, SNA, MAA, SWK, PNW, EIX, AEE, CMS, ROK, AOS, BXP"
2004-10,"JBHT, POOL, BXP, FRT, AOS, IEX, ROL, INCY, ROK, ROP, MHK, SNA, STT, AEE, SWK, NTRS, HOLX, PPG, FDS, ED, TER, RHI, PNW, COO, DTE","ATO, EIX, ADM, ESS, CINF, GL, DOV, MAA, EMN, FE, TTWO, SJM, DHI, BRO, AFL, AVY, NUE, LNC, CMI, BAX, HBAN, CHD, VMC, CMS, APD"
2004-11,"ADM, CMS, IEX, POOL, APD, SNA, CINF, TTWO, LNC, PPG, FRT, SWK, PNW, AFL, EIX, ATO, VMC, FDS, NUE, HOLX, MHK, TER, DOV, BAX, DTE","ESS, SJM, FE, DHI, CHD, EMN, AOS, CMI, ROK, NTRS, RHI, GL, MAA, HBAN, ED, AEE, BXP, ROL, AVY, BRO, JBHT, INCY, COO, STT, ROP"
2004-12,"HOLX, SNA, BAX, RHI, CHD, BRO, BXP, ROL, AFL, EMN, VMC, CMI, ADM, SWK, ROK, MAA, DOV, GL, ESS, MHK, SJM, AEE, NTRS, FRT, AVY","ATO, CMS, DHI, FDS, JBHT, STT, HBAN, PPG, COO, LNC, POOL, APD, IEX, ED, PNW, EIX, FE, INCY, DTE, ROP, CINF, NUE, TTWO, AOS, TER"
2005-01,"COO, ADM, NUE, VMC, HOLX, RHI, DTE, CHD, EIX, ROK, APD, TTWO, AEE, ATO, PPG, CMS, FE, CINF, ED, AVY, NTRS, BXP, AOS, DOV, FDS","STT, MAA, FRT, CMI, POOL, HBAN, PNW, ROL, EMN, IEX, ROP, GL, SNA, MHK, SWK, TER, ESS, INCY, JBHT, DHI, LNC, SJM, AFL, BRO, BAX"
2005-02,"TER, ROK, BRO, COO, JBHT, EMN, FRT, APD, BAX, SJM, PPG, TTWO, FE, BXP, HOLX, ROL, IEX, CHD, AEE, VMC, LNC, CMS, POOL, ROP, NUE","DHI, MHK, CINF, PNW, AVY, DOV, DTE, MAA, ESS, FDS, CMI, GL, RHI, NTRS, AFL, SWK, INCY, ED, AOS, STT, HBAN, ATO, ADM, SNA, EIX"
2005-03,"AOS, ROL, CMS, EIX, TTWO, HBAN, SJM, DTE, NTRS, FE, AVY, ADM, EMN, IEX, PNW, ROP, APD, BXP, CHD, FDS, ROK, NUE, RHI, JBHT, POOL","MHK, TER, AEE, BAX, ESS, CMI, FRT, LNC, SNA, MAA, INCY, AFL, CINF, SWK, DOV, HOLX, COO, DHI, VMC, ATO, BRO, STT, ED, PPG, GL"
2005-04,"BAX, AFL, AEE, STT, ROL, EIX, MAA, SNA, DHI, NTRS, FE, ROP, ED, GL, POOL, FRT, HOLX, BXP, ESS, DTE, CHD, TTWO, RHI, EMN, MHK","IEX, COO, APD, VMC, PPG, BRO, SWK, INCY, DOV, CMI, ADM, TER, CINF, ATO, ROK, FDS, AVY, NUE, JBHT, PNW, SJM, AOS, CMS, HBAN, LNC"
2005-05,"POOL, TTWO, EMN, MAA, ATO, MHK, PNW, AEE, ESS, ED, DOV, SNA, STT, SWK, NUE, DTE, ROP, HOLX, IEX, ROL, FRT, JBHT, APD, CMS, NTRS","TER, INCY, FDS, DHI, VMC, ROK, AOS, ADM, AFL, LNC, BRO, FE, EIX, BXP, RHI, CHD, SJM, PPG, COO, CINF, GL, HBAN, BAX, CMI, AVY"
2005-06,"FE, DHI, VMC, ADM, HOLX, FRT, BXP, AFL, ED, ESS, HBAN, LNC, ATO, CMS, MAA, FDS, EIX, CMI, ROP, SWK, AVY, AEE, BRO, PNW, BAX","IEX, STT, RHI, CHD, TER, COO, INCY, EMN, SJM, ROK, JBHT, DOV, PPG, POOL, AOS, NUE, DTE, ROL, TTWO, MHK, GL, NTRS, APD, SNA, CINF"
2005-07,"BXP, DHI, SWK, VMC, ROP, ADM, AVY, SNA, MHK, MAA, BAX, ROK, CMS, CINF, HBAN, ROL, RHI, AFL, POOL, CHD, PPG, STT, FE, TER, NUE","PNW, LNC, ED, FDS, HOLX, CMI, DOV, IEX, COO, NTRS, FRT, ESS, INCY, JBHT, AEE, DTE, EIX, SJM, ATO, EMN, AOS, BRO, TTWO, APD, GL"
2005-08,"EIX, BRO, TER, HOLX, AOS, BAX, LNC, FE, VMC, NUE, CMS, CHD, ATO, CMI, GL, ROK, ROP, POOL, SJM, JBHT, INCY, APD, BXP, SWK, ROL","MAA, AVY, FRT, FDS, ESS, AFL, HBAN, TTWO, SNA, PPG, STT, MHK, DTE, ED, NTRS, ADM, EMN, DHI, DOV, AEE, PNW, CINF, RHI, COO, IEX"
2005-09,"ADM, RHI, JBHT, AFL, EIX, LNC, BRO, ED, NUE, MAA, VMC, FE, SNA, CINF, ESS, SJM, HOLX, COO, CMS, CMI, ROK, SWK, ROP, NTRS, AOS","STT, FDS, DOV, TTWO, HBAN, MHK, PPG, POOL, INCY, ATO, CHD, AEE, IEX, EMN, AVY, PNW, TER, DHI, FRT, BAX, APD, ROL, BXP, GL, DTE"
2005-10,"BRO, AVY, NTRS, INCY, AFL, HBAN, APD, RHI, SWK, POOL, CINF, AOS, EMN, STT, NUE, BXP, JBHT, PPG, ESS, FRT, ROK, MAA, CMS, FE, EIX","ATO, TTWO, ED, IEX, SJM, PNW, CHD, DTE, DOV, BAX, ROP, HOLX, CMI, MHK, LNC, ROL, TER, DHI, VMC, COO, ADM, AEE, FDS, SNA, GL"
2005-11,"BXP, POOL, TER, BRO, ROL, ROK, MAA, EMN, ROP, CINF, STT, CMI, FRT, AVY, DOV, SNA, RHI, LNC, APD, HOLX, EIX, HBAN, GL, VMC, DHI","JBHT, AOS, MHK, NUE, INCY, IEX, FDS, ESS, BAX, PPG, ATO, DTE, PNW, AFL, CMS, CHD, ADM, COO, NTRS, TTWO, FE, SJM, AEE, ED, SWK"
2005-12,"HOLX, FDS, FE, ROK, ADM, BRO, CMS, ED, GL, LNC, VMC, JBHT, SNA, CMI, DHI, ESS, DOV, CINF, IEX, EMN, COO, AVY, POOL, INCY, PPG","STT, AOS, FRT, EIX, AFL, BAX, TTWO, ROL, SJM, AEE, NTRS, BXP, MHK, DTE, HBAN, RHI, NUE, TER, CHD, ATO, PNW, MAA, APD, SWK, ROP"
2006-01,"STT, ROL, AVY, ESS, CMI, COO, POOL, SNA, BXP, VMC, MAA, JBHT, APD, DHI, HOLX, ADM, NUE, AOS, PNW, LNC, PPG, SWK, CINF, TER, DOV","IEX, ROK, CHD, FRT, FE, ROP, ED, NTRS, AFL, EIX, GL, ATO, BRO, EMN, INCY, RHI, FDS, MHK, TTWO, HBAN, DTE, SJM, BAX, CMS, AEE"
2006-02,"VMC, POOL, BRO, BXP, AOS, MAA, LNC, DOV, FRT, APD, HBAN, STT, ROK, IEX, BAX, DTE, INCY, ROP, CMI, EMN, SWK, NUE, FE, PPG, MHK","EIX, NTRS, ADM, ATO, AVY, SJM, DHI, HOLX, CHD, COO, TER, SNA, CMS, CINF, PNW, ED, GL, FDS, TTWO, RHI, ROL, AFL, JBHT, AEE, ESS"
2006-03,"VMC, BXP, ESS, POOL, FRT, ROP, RHI, CHD, ADM, BRO, ROK, PPG, ROL, APD, GL, EMN, NUE, COO, BAX, INCY, TTWO, HOLX, AOS, FDS, IEX","DOV, SJM, SWK, ATO, MAA, JBHT, CMS, TER, DTE, EIX, MHK, CINF, PNW, ED, LNC, FE, STT, CMI, DHI, AFL, AVY, AEE, SNA, NTRS, HBAN"
2006-04,"RHI, SNA, TER, STT, ADM, EMN, AVY, LNC, PPG, AFL, GL, NUE, SWK, FE, DTE, CMS, PNW, APD, DOV, AEE, NTRS, JBHT, CINF, COO, HBAN","ESS, ATO, ROK, DHI, TTWO, FRT, BRO, BXP, INCY, MAA, BAX, IEX, ROP, VMC, HOLX, AOS, EIX, SJM, ED, MHK, CHD, CMI, FDS, POOL, ROL"
2006-05,"CINF, SJM, CMI, EMN, FE, JBHT, ADM, ED, FDS, ATO, SNA, VMC, MHK, TER, POOL, SWK, AOS, ROK, APD, NTRS, AVY, STT, IEX, TTWO, PPG","BXP, CMS, MAA, NUE, RHI, EIX, ROL, LNC, HBAN, BRO, ESS, GL, DOV, AEE, HOLX, COO, DHI, AFL, CHD, ROP, DTE, PNW, BAX, INCY, FRT"
2006-06,"INCY, SJM, BXP, ROK, AOS, FDS, ATO, ESS, FE, HOLX, PPG, GL, NUE, CINF, RHI, CMI, MAA, FRT, ED, AEE, JBHT, DOV, PNW, POOL, CHD","DTE, CMS, LNC, VMC, DHI, COO, STT, MHK, EMN, BRO, TTWO, SNA, SWK, BAX, IEX, AVY, TER, APD, NTRS, AFL, EIX, ADM, ROP, ROL, HBAN"
2006-07,"BXP, CMS, PNW, ROL, BRO, EIX, ADM, ESS, ED, DTE, FRT, HBAN, SNA, STT, NTRS, FE, AEE, ATO, MAA, BAX, AVY, CINF, APD, LNC, HOLX","IEX, AOS, INCY, EMN, FDS, PPG, TER, AFL, DOV, CMI, SWK, ROP, RHI, MHK, JBHT, VMC, ROK, POOL, DHI, TTWO, NUE, GL, SJM, COO, CHD"
2006-08,"SJM, PNW, LNC, ESS, MAA, TER, EMN, BAX, AVY, CHD, EIX, CMS, SWK, SNA, AEE, APD, BXP, DOV, GL, PPG, STT, ROP, MHK, INCY, VMC","TTWO, COO, DHI, AFL, FRT, FE, ROL, FDS, ROK, NUE, ADM, AOS, BRO, RHI, JBHT, HOLX, IEX, POOL, NTRS, CMI, HBAN, ED, DTE, CINF, ATO"
2006-09,"FDS, RHI, DHI, COO, PPG, JBHT, SWK, MHK, NTRS, CMI, ROK, CINF, EMN, SNA, IEX, BAX, TTWO, LNC, BRO, AFL, CHD, BXP, GL, POOL, MAA","ED, NUE, STT, HOLX, ADM, TER, EIX, ROP, ESS, AVY, DOV, PNW, AOS, INCY, AEE, CMS, FE, SJM, DTE, ROL, VMC, HBAN, APD, ATO, FRT"
2006-10,"IEX, FRT, COO, ATO, RHI, EIX, ROP, ROK, TER, CMI, POOL, PNW, AVY, SNA, APD, FE, FDS, ED, JBHT, VMC, BXP, MAA, CHD, AEE, STT","CMS, HBAN, ROL, NUE, EMN, INCY, DTE, HOLX, ESS, SJM, LNC, PPG, ADM, BAX, NTRS, CINF, BRO, SWK, MHK, GL, DHI, TTWO, AFL, AOS, DOV"
2006-11,"INCY, BXP, VMC, CMS, ROP, SWK, AVY, ATO, MHK, TER, FRT, DOV, RHI, ROK, PNW, HOLX, FDS, DTE, EIX, TTWO, CHD, GL, IEX, NUE, DHI","AOS, FE, ROL, AEE, JBHT, LNC, SNA, ADM, COO, PPG, CMI, MAA, STT, NTRS, CINF, BAX, EMN, SJM, AFL, ESS, BRO, APD, HBAN, ED, POOL"
2006-12,"STT, FDS, NTRS, AOS, AFL, LNC, BAX, CMS, DTE, PNW, INCY, TTWO, CINF, CHD, VMC, APD, FE, SJM, ROL, ED, SNA, GL, AVY, PPG, TER","ADM, NUE, ROK, HOLX, JBHT, MAA, BXP, POOL, RHI, MHK, BRO, HBAN, DOV, ESS, ROP, AEE, ATO, COO, SWK, CMI, IEX, EIX, DHI, FRT, EMN"
2007-01,"MHK, DHI, RHI, IEX, BAX, COO, APD, CHD, STT, MAA, AFL, INCY, JBHT, ROP, PPG, FDS, NUE, BXP, HOLX, SWK, CMI, VMC, ESS, FRT, AOS","GL, AVY, SNA, DOV, LNC, NTRS, ED, POOL, PNW, DTE, TTWO, ATO, SJM, FE, ROL, HBAN, CINF, EMN, EIX, TER, CMS, AEE, ADM, ROK, BRO"
2007-02,"TER, ADM, MHK, CHD, JBHT, FE, ROL, FDS, CMS, EIX, SJM, SNA, ROP, TTWO, VMC, LNC, ROK, AOS, EMN, BAX, ATO, ED, IEX, STT, MAA","NUE, BXP, POOL, RHI, ESS, COO, DOV, CINF, FRT, SWK, AVY, PNW, AEE, INCY, DHI, GL, AFL, NTRS, HOLX, BRO, HBAN, DTE, PPG, CMI, APD"
2007-03,"SJM, CMI, EMN, ADM, NUE, PPG, FE, ED, COO, BAX, CHD, HOLX, EIX, DTE, FDS, ROP, INCY, TER, GL, DOV, TTWO, CMS, POOL, MAA, PNW","ESS, MHK, HBAN, RHI, BRO, AEE, SNA, AVY, ROK, BXP, IEX, CINF, DHI, STT, APD, AOS, JBHT, LNC, SWK, NTRS, AFL, FRT, VMC, ROL, ATO"
2007-04,"MHK, AFL, BAX, EMN, CINF, EIX, DTE, STT, VMC, SWK, AEE, TER, ADM, NTRS, COO, LNC, SJM, PPG, GL, CMS, APD, CMI, FE, JBHT, IEX","HBAN, INCY, SNA, POOL, ROP, ATO, DHI, CHD, BXP, TTWO, BRO, MAA, AVY, FDS, NUE, RHI, DOV, ROK, AOS, HOLX, PNW, FRT, ESS, ROL, ED"
2007-05,"MAA, SWK, IEX, COO, JBHT, TTWO, NUE, RHI, DHI, AVY, DTE, ROP, DOV, FDS, AOS, PPG, NTRS, SJM, AFL, GL, LNC, ROK, MHK, EIX, CMI","ATO, POOL, APD, HBAN, BRO, FE, AEE, ADM, INCY, HOLX, ED, VMC, PNW, TER, EMN, FRT, BXP, CMS, CHD, ESS, STT, SNA, ROL, BAX, CINF"
2007-06,"CMI, FDS, RHI, TER, APD, DOV, ROK, SJM, HOLX, IEX, AVY, AOS, HBAN, JBHT, PPG, DTE, ESS, AEE, ED, ATO, SNA, FE, CMS, ADM, CINF","GL, POOL, SWK, VMC, EIX, BRO, COO, TTWO, CHD, EMN, AFL, ROP, LNC, INCY, PNW, DHI, NUE, FRT, BXP, MAA, NTRS, MHK, ROL, BAX, STT"
2007-07,"APD, EMN, ROP, ROL, SNA, AOS, CMI, BRO, ADM, AFL, CHD, ROK, CINF, SWK, GL, AVY, RHI, BXP, ESS, ATO, BAX, HOLX, FE, IEX, CMS","PNW, COO, EIX, JBHT, FDS, ED, DTE, NTRS, FRT, STT, DHI, VMC, LNC, HBAN, MAA, POOL, NUE, SJM, TTWO, INCY, TER, MHK, AEE, DOV, PPG"
2007-08,"INCY, ESS, PNW, CINF, IEX, BXP, AEE, ROP, NUE, ED, BRO, APD, BAX, JBHT, DTE, HOLX, SWK, FRT, ROL, MAA, AFL, LNC, FE, CMS, ROK","TTWO, FDS, STT, CHD, DHI, SNA, RHI, VMC, TER, PPG, DOV, MHK, EMN, POOL, COO, AVY, NTRS, HBAN, SJM, AOS, EIX, CMI, ATO, GL, ADM"
2007-09,"APD, LNC, CMI, NTRS, COO, AFL, TTWO, FRT, EIX, CHD, FE, BXP, PPG, DOV, ROP, AEE, CMS, INCY, BAX, CINF, HOLX, FDS, NUE, STT, ED","ATO, SNA, DTE, GL, ROL, MAA, AOS, JBHT, TER, MHK, RHI, IEX, AVY, POOL, SJM, BRO, DHI, ADM, HBAN, SWK, ROK, PNW, VMC, ESS, EMN"
